LotArea,SaleCondition,SalePrice
8450,Normal,208500
9600,Normal,181500
11250,Normal,223500
9550,Abnorml,140000
14260,Normal,250000
14115,Normal,143000
10084,Normal,307000
10382,Normal,200000
6120,Abnorml,129900
7420,Normal,118000
11200,Normal,129500
11924,Partial,345000
12968,Normal,144000
10652,Partial,279500
10920,Normal,157000
6120,Normal,132000
11241,Normal,149000
10791,Normal,90000
13695,Normal,159000
7560,Abnorml,139000
14215,Partial,325300
7449,Normal,139400
9742,Normal,230000
4224,Normal,129900
8246,Normal,154000
14230,Normal,256300
7200,Normal,134800
11478,Normal,306000
16321,Normal,207500
6324,Normal,68500
8500,Normal,40000
8544,Normal,149350
11049,Normal,179900
10552,Normal,165500
7313,Normal,277500
13418,Normal,309000
10859,Normal,145000
8532,Normal,153000
7922,Abnorml,109000
6040,AdjLand,82000
8658,Abnorml,160000
16905,Normal,170000
9180,Normal,144000
9200,Normal,130250
7945,Normal,141000
7658,Normal,319900
12822,Abnorml,239686
11096,Normal,249700
4456,Partial,113000
7742,Normal,127000
13869,Normal,177000
6240,Normal,114500
8472,Normal,110000
50271,Normal,385000
7134,Normal,130000
10175,Normal,180500
2645,Abnorml,172500
11645,Normal,196500
13682,Partial,438780
7200,Normal,124900
13072,Partial,158000
7200,Normal,101000
6442,Normal,202500
10300,Normal,140000
9375,Normal,219500
9591,Normal,317000
19900,Normal,180000
10665,Normal,226000
4608,Normal,80000
15593,Normal,225000
13651,Normal,244000
7599,Normal,129500
10141,Normal,185000
10200,Normal,144900
5790,Normal,107400
1596,Normal,91000
8475,Normal,135750
8635,Normal,127000
10778,Normal,136500
10440,Normal,110000
13000,Normal,193500
4500,Normal,153500
10206,Normal,245000
8892,Normal,126500
8530,Normal,168500
16059,Normal,260000
11911,Normal,174000
3951,Partial,164500
8470,Abnorml,85000
8070,Normal,123600
7200,Normal,109900
8500,Abnorml,98600
13360,Normal,163500
7200,Normal,133900
9337,Normal,204750
9765,Normal,185000
10264,Normal,214000
10921,Normal,94750
10625,Abnorml,83000
9320,Normal,128950
10603,Normal,205000
9206,Normal,178000
7018,Alloca,118964
10402,Normal,198900
7758,Normal,169500
9375,Normal,250000
10800,Normal,100000
6000,Partial,115000
8500,Normal,115000
11751,Normal,190000
9525,Normal,136900
7750,Normal,180000
9965,Partial,383970
21000,Abnorml,217000
7259,Normal,259500
3230,Normal,176000
11616,Normal,139000
8536,Partial,155000
12376,Normal,320000
8461,Partial,163990
21453,Normal,180000
6060,Normal,100000
9464,Normal,136000
7892,Normal,153900
17043,Normal,181000
6780,Normal,84500
4928,Normal,128000
4388,Normal,87000
7590,Normal,155000
8973,Abnorml,150000
14200,Normal,226000
12224,Normal,244000
7388,Normal,150750
6853,Normal,220000
10335,Normal,180000
10400,Normal,174000
10355,Normal,143000
11070,Family,171000
9066,Normal,230000
15426,Normal,231500
10500,Normal,115000
11645,Normal,260000
8520,Normal,166000
10335,Normal,204000
9100,Abnorml,125000
2522,Normal,130000
6120,Normal,105000
9505,Normal,222500
7500,Normal,141000
6240,Normal,115000
10356,Normal,122000
13891,Partial,372402
14803,Normal,190000
13500,Normal,235000
11340,Family,125000
9600,Normal,79000
7200,Normal,109500
12003,Partial,269500
12552,Normal,254900
19378,Partial,320000
11120,Normal,162500
13688,Normal,412500
12182,Partial,220000
5500,Normal,103200
5400,Normal,152000
10106,Normal,127500
10708,Normal,190000
10562,Partial,325624
8244,Normal,183500
16669,Normal,228000
12358,Normal,128500
31770,Normal,215000
5306,Normal,239000
10197,Normal,163000
12416,Normal,184000
12615,Normal,243000
10029,Normal,211000
13650,Normal,172500
17423,Partial,501837
8520,Normal,100000
2117,Normal,177000
7588,Normal,200100
9060,Normal,120000
11426,Normal,200000
7438,Normal,127000
22950,Normal,475000
9947,Normal,173000
10410,Normal,135000
7018,Alloca,153337
4923,Normal,286000
