sale condition,1poibt5Fin,1poibt5Unf,1Story,2poibt5Fin,2poibt5Unf,2Story,SFoyer,SLvl,Grand Total
2006/1,105000,,216687.5,,,172400,,,201090
2006/10,138025,,164470.6364,,163000,233856.8,127500,157750,172356.7083
2006/11,,,187266.6667,,,246737.1429,,,213285
2006/12,135000,,192822.5,,,290000,129480,,185545
2006/2,229000,,192250,,,189233.3333,,,194322.2222
2006/3,104900,,185612.9167,118500,,218537.5,,141833.3333,184982.2
2006/4,121333.3333,,163472.3077,,,201573.2727,,,174312.8148
2006/5,118225,,173079.5,,,156035.625,134750,146750,158928.2895
2006/6,137375,,148542.5,475000,,201458.8235,140000,159950,172283.3333
2006/7,143900,,157016.9714,,144000,243388.5,148000,137833.3333,183211.0597
2006/8,123775,113000,226531.25,,,215774.875,92000,274970,196239.9565
2006/9,111250,,268200,,,231861.8571,,170000,223768.8667
2007/1,143000,,118258.3333,,122000,352833.3333,171000,178000,183234.6154
2007/10,,,198012.8182,,,277680,,158000,215428.8125
2007/11,133250,,185100,,133900,234613.7778,,197000,197709.3333
2007/12,141000,87000,241120.125,,,291250,114250,154500,214414.5
2007/2,,,166533.5,,,281213,,130000,176301.75
2007/3,159625,,177602.0769,200000,101000,203183,,,176567.7826
2007/4,175875,103200,151516.6667,,,234674,129500,,170772.6087
2007/5,169250,135000,170957,,,179770.8333,123750,164766.6667,169873.5116
2007/6,169064.2857,107633.3333,169642.25,,,218793.5294,144500,169500,179725.8136
2007/7,125225,132000,193420.375,,,218917.5,,155950,195396.8431
2007/8,147000,,177827.05,,164000,204935.8571,140000,187000,183941.075
2007/9,,,193654.4,,,197100,,,195533.8182
2008/1,127000,118000,212157.4286,,,160500,108959,,178504.6923
2008/10,118500,,170599.5385,,,167700,,164133.3333,166690.6364
2008/11,131500,,220771.7,,,222815.25,206300,149900,210981.0588
2008/12,,,164342.8571,,,200600,,152500,175600
2008/2,,,135900,,,182840,,,159370
2008/3,99833.33333,,186049.1667,,,199700,,,178505.2778
2008/4,126485.7143,,162891.2143,,129500,236250,137500,,159293.3462
2008/5,239500,109500,170335.7895,295000,,203843,,173133.3333,188334.4737
2008/6,179412.5,105500,157819.9167,,128000,200164.2857,81000,158250,169730.9412
2008/7,148886.4,,159738.0909,179500,325000,191235.2941,178400,180500,174562.6531
2008/8,160283.3333,,175964,,,237804.5455,,151000,196076.9655
2008/9,148325,,153325,191000,,196566.6667,,,169626.4706
2009/1,117000,119000,159232.1667,,,415466.5,,137500,189735.5
2009/10,130075,76000,204240.6154,,,183800,,150000,175206.5926
2009/11,127250,,140991.6667,,106000,216166.6667,,91000,156381.8182
2009/12,125000,,159183.2857,,,182655.8333,,,164014.5333
2009/2,,,184833.3333,,,191375,,,187450
2009/3,177000,,170575,,,179600,133000,184100,171547.3684
2009/4,116500,,199690,,,202850,116266.6667,,181680.7692
2009/5,106350,121000,164766,,,188391.3571,86000,172250,164482.9459
2009/6,132450,,173018.2941,,,208059.7895,153337,186133.3333,183260.9322
2009/7,134591.75,,188697.2609,104000,214500,228990.75,167000,345000,197984.4098
2009/8,137031,,165210.2143,197000,,174500,,197000,165670.9667
2009/9,193833.3333,,205632.4667,,,135500,,,196849.35
2010/1,100138,,142650,,,210075,170000,,163852.6
2010/2,,,170226.9231,,,204700,,,174823.3333
2010/3,289500,,224421.4167,,,146950,,130000,203181.2857
2010/4,105850,,172237.1364,,,196230,147000,180250,171344.0256
2010/5,115500,,176567.8571,,,206497.7143,106500,169900,178422.25
2010/6,141375,,163423.2143,,,214042.8571,146000,198500,181639.5833
2010/7,80000,,149833.3333,,,100500,,,121750
Average of SalePrice,143116.7403,110150,175985.478,220000,157354.5455,210051.764,135074.4865,166703.3846,180921.1959
